category, name, film, winner, 
FILM EDITING, Ellsworth Hoagland, The Lives of a Bengal Lancer, False, 
FILM EDITING, Ralph Dawson, A Midsummer Night's Dream, True, 
FILM EDITING, Margaret Booth, Mutiny on the Bounty, False, 
MUSIC (Scoring), "Warner Bros.-First National Studio Music Department,  Leo Forbstein,  head of department  (Score by Erich Wolfgang Korngold)", Captain Blood, False, 
MUSIC (Scoring), "RKO Radio Studio Music Department,  Max Steiner,  head of department  (Score by Max Steiner)", The Informer, True, 
MUSIC (Scoring), "Metro-Goldwyn-Mayer Studio Music Department,  Nat W. Finston,  head of department  (Score by Herbert Stothart)", Mutiny on the Bounty, False, 
MUSIC (Scoring), "Paramount Studio Music Department,  Irvin Talbot,  head of department  (Score by Ernst Toch)", Peter Ibbetson, False, 
MUSIC (Song), Music and Lyrics by Irving Berlin, Top Hat, False, 
MUSIC (Song), Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh, Roberta, False, 
MUSIC (Song), Music by Harry Warren; Lyrics by Al Dubin, Gold Diggers of 1935, True, 
OUTSTANDING PRODUCTION, RKO Radio, Alice Adams, False, 
OUTSTANDING PRODUCTION, Metro-Goldwyn-Mayer, Broadway Melody of 1936, False, 
OUTSTANDING PRODUCTION, Cosmopolitan, Captain Blood, False, 
OUTSTANDING PRODUCTION, Metro-Goldwyn-Mayer, David Copperfield, False, 
OUTSTANDING PRODUCTION, RKO Radio, The Informer, False, 
OUTSTANDING PRODUCTION, 20th Century, Les Miserables, False, 
OUTSTANDING PRODUCTION, Paramount, The Lives of a Bengal Lancer, False, 
OUTSTANDING PRODUCTION, Warner Bros., A Midsummer Night's Dream, False, 
OUTSTANDING PRODUCTION, Metro-Goldwyn-Mayer, Mutiny on the Bounty, True, 
OUTSTANDING PRODUCTION, Metro-Goldwyn-Mayer, Naughty Marietta, False, 
OUTSTANDING PRODUCTION, Paramount, Ruggles of Red Gap, False, 
OUTSTANDING PRODUCTION, RKO Radio, Top Hat, False, 
SHORT SUBJECT (Cartoon), Harman-Ising, The Calico Dragon, False, 
SHORT SUBJECT (Cartoon), "Walt Disney,  Producer", Three Orphan Kittens, True, 
SHORT SUBJECT (Cartoon), "Walt Disney,  Producer", Who Killed Cock Robin?, False, 
SHORT SUBJECT (Comedy), "Jack Chertok,  Producer", How to Sleep, True, 
SHORT SUBJECT (Comedy), "Jules White,  Producer", "Oh,  My Nerves", False, 
SHORT SUBJECT (Comedy), "Hal Roach,  Producer", Tit for Tat, False, 
SHORT SUBJECT (Novelty), "Pete Smith,  Producer", Audioscopiks, False, 
SHORT SUBJECT (Novelty), Universal, Camera Thrills, False, 
SHORT SUBJECT (Novelty), Gaumont British and Skibo Productions, Wings over Mt. Everest, True, 
